timestamp_sec;timestamp_nanosec;range;azimuth_deg;elevation_deg;x;y;z;intensity
  1598267360;   621766090;   0.445; -98.669;   0.000;  -0.067;  -0.440;   0.000;     136
  1598267360;   621766090;   0.447; -98.336;   0.000;  -0.065;  -0.442;   0.000;     124
  1598267360;   621766090;   0.446; -98.002;   0.000;  -0.062;  -0.442;   0.000;     112
  1598267360;   621766090;   0.435; -97.669;   0.000;  -0.058;  -0.431;   0.000;      91
  1598267360;   621766090;   0.363; -97.336;   0.000;  -0.046;  -0.360;   0.000;      49
  1598267360;   621766090;   1.665; -97.002;   0.000;  -0.203;  -1.653;   0.000;      64
  1598267360;   621766090;   1.615; -96.669;   0.000;  -0.188;  -1.604;   0.000;     124
  1598267360;   621766090;   1.628; -96.336;   0.000;  -0.180;  -1.618;   0.000;     145
  1598267360;   621766090;   1.861; -96.002;   0.000;  -0.195;  -1.851;   0.000;     136
  1598267360;   621766090;   2.006; -95.669;   0.000;  -0.198;  -1.996;   0.000;     160
  1598267360;   621766090;   2.009; -95.336;   0.000;  -0.187;  -2.000;   0.000;     160
  1598267360;   621766090;   2.004; -95.003;   0.000;  -0.175;  -1.996;   0.000;     160
  1598267360;   621766090;   2.009; -94.669;   0.000;  -0.164;  -2.002;   0.000;     166
  1598267360;   621766090;   2.014; -94.336;   0.000;  -0.152;  -2.008;   0.000;     166
  1598267360;   621766090;   2.011; -94.003;   0.000;  -0.140;  -2.006;   0.000;     166
  1598267360;   621766090;   2.018; -93.669;   0.000;  -0.129;  -2.014;   0.000;     166
  1598267360;   621766090;   2.027; -93.336;   0.000;  -0.118;  -2.024;   0.000;     172
  1598267360;   621766090;   2.018; -93.003;   0.000;  -0.106;  -2.015;   0.000;     166
  1598267360;   621766090;   2.020; -92.669;   0.000;  -0.094;  -2.018;   0.000;     160
  1598267360;   621766090;   0.425; -92.336;   0.000;  -0.017;  -0.425;   0.000;     154
  1598267360;   621766090;   0.535; -92.003;   0.000;  -0.019;  -0.535;   0.000;     115
  1598267360;   621766090;   0.631; -91.670;   0.000;  -0.018;  -0.631;   0.000;      94
  1598267360;   621766090;   0.514; -91.336;   0.000;  -0.012;  -0.514;   0.000;      94
  1598267360;   621766090;   0.485; -91.003;   0.000;  -0.008;  -0.485;   0.000;     106
  1598267360;   621766090;   0.472; -90.670;   0.000;  -0.006;  -0.472;   0.000;      97
  1598267360;   621766090;   0.515; -90.336;   0.000;  -0.003;  -0.515;   0.000;      76
  1598267360;   621766090;   0.528; -90.003;   0.000;  -0.000;  -0.528;   0.000;      67
  1598267360;   621766090;   0.484; -89.670;   0.000;   0.003;  -0.484;   0.000;      61
  1598267360;   621766090;   0.460; -89.336;   0.000;   0.005;  -0.460;   0.000;      58
  1598267360;   621766090;   0.458; -89.003;   0.000;   0.008;  -0.458;   0.000;      55
  1598267360;   621766090;   0.002; -88.670;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.401; -88.337;   0.000;   0.012;  -0.401;   0.000;      52
  1598267360;   621766090;   0.335; -88.003;   0.000;   0.012;  -0.335;   0.000;      52
  1598267360;   621766090;   1.761; -87.670;   0.000;   0.072;  -1.760;   0.000;      58
  1598267360;   621766090;   1.730; -87.337;   0.000;   0.080;  -1.728;   0.000;      73
  1598267360;   621766090;   0.201; -87.003;   0.000;   0.011;  -0.201;   0.000;      79
  1598267360;   621766090;   0.283; -86.670;   0.000;   0.016;  -0.283;   0.000;      55
  1598267360;   621766090;   0.002; -86.337;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -86.003;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.406; -85.670;   0.000;   0.031;  -0.405;   0.000;      55
  1598267360;   621766090;   0.405; -85.337;   0.000;   0.033;  -0.404;   0.000;      55
  1598267360;   621766090;   0.002; -85.004;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -84.670;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -84.337;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.443; -84.004;   0.000;   0.046;  -0.441;   0.000;      64
  1598267360;   621766090;   0.452; -83.670;   0.000;   0.050;  -0.449;   0.000;      94
  1598267360;   621766090;   0.452; -83.337;   0.000;   0.052;  -0.449;   0.000;      94
  1598267360;   621766090;   0.451; -83.004;   0.000;   0.055;  -0.448;   0.000;      85
  1598267360;   621766090;   0.002; -82.670;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.002; -82.004;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -81.671;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -81.337;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -81.004;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   2.696; -80.671;   0.000;   0.437;  -2.660;   0.000;      22
  1598267360;   621766090;   0.002; -80.337;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -80.004;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -79.671;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -79.337;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -79.004;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -78.671;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -78.338;   0.000;   0.000;  -0.002;   0.000;       0
  1598267360;   621766090;   0.399; -78.004;   0.000;   0.083;  -0.390;   0.000;      76
  1598267360;   621766090;   0.381; -77.671;   0.000;   0.081;  -0.372;   0.000;      73
  1598267360;   621766090;   0.390; -77.338;   0.000;   0.085;  -0.381;   0.000;      67
  1598267360;   621766090;   0.404; -77.004;   0.000;   0.091;  -0.394;   0.000;      61
  1598267360;   621766090;   0.530; -76.671;   0.000;   0.122;  -0.516;   0.000;      58
  1598267360;   621766090;   0.612; -76.338;   0.000;   0.145;  -0.595;   0.000;      67
  1598267360;   621766090;   0.651; -76.004;   0.000;   0.157;  -0.632;   0.000;      73
  1598267360;   621766090;   0.647; -75.671;   0.000;   0.160;  -0.627;   0.000;      76
  1598267360;   621766090;   0.644; -75.338;   0.000;   0.163;  -0.623;   0.000;      79
  1598267360;   621766090;   0.644; -75.005;   0.000;   0.167;  -0.622;   0.000;      82
  1598267360;   621766090;   0.635; -74.671;   0.000;   0.168;  -0.612;   0.000;      67
  1598267360;   621766090;   0.631; -74.338;   0.000;   0.170;  -0.608;   0.000;      70
  1598267360;   621766090;   0.632; -74.005;   0.000;   0.174;  -0.608;   0.000;      67
  1598267360;   621766090;   0.629; -73.671;   0.000;   0.177;  -0.604;   0.000;      67
  1598267360;   621766090;   0.616; -73.338;   0.000;   0.177;  -0.590;   0.000;      64
  1598267360;   621766090;   0.618; -73.005;   0.000;   0.181;  -0.591;   0.000;      67
  1598267360;   621766090;   0.617; -72.671;   0.000;   0.184;  -0.589;   0.000;      70
  1598267360;   621766090;   0.609; -72.338;   0.000;   0.185;  -0.580;   0.000;      70
  1598267360;   621766090;   0.592; -72.005;   0.000;   0.183;  -0.563;   0.000;      67
  1598267360;   621766090;   0.593; -71.672;   0.000;   0.186;  -0.563;   0.000;      67
  1598267360;   621766090;   0.588; -71.338;   0.000;   0.188;  -0.557;   0.000;      67
  1598267360;   621766090;   0.002; -71.005;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.557; -70.672;   0.000;   0.184;  -0.526;   0.000;      88
  1598267360;   621766090;   0.565; -70.338;   0.000;   0.190;  -0.532;   0.000;     142
  1598267360;   621766090;   0.565; -70.005;   0.000;   0.193;  -0.531;   0.000;     139
  1598267360;   621766090;   0.560; -69.672;   0.000;   0.195;  -0.525;   0.000;     109
  1598267360;   621766090;   0.567; -69.338;   0.000;   0.200;  -0.531;   0.000;     100
  1598267360;   621766090;   0.573; -69.005;   0.000;   0.205;  -0.535;   0.000;      97
  1598267360;   621766090;   0.558; -68.672;   0.000;   0.203;  -0.520;   0.000;      73
  1598267360;   621766090;   0.002; -68.339;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -68.005;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -67.672;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -67.339;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -67.005;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -66.672;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -66.339;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -66.005;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -65.672;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -65.339;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -65.006;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.002; -64.006;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -63.672;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -63.339;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -63.006;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -62.672;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.002; -62.006;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.002; -61.006;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.000;  -0.000;   0.000;   0.000;  -0.000;   0.000;       0
  1598267360;   621766090;   0.002; -60.006;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -59.673;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -59.339;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.319; -59.006;   0.000;   0.164;  -0.273;   0.000;      40
  1598267360;   621766090;   0.316; -58.673;   0.000;   0.164;  -0.270;   0.000;      70
  1598267360;   621766090;   0.318; -58.340;   0.000;   0.167;  -0.271;   0.000;     106
  1598267360;   621766090;   0.318; -58.006;   0.000;   0.168;  -0.270;   0.000;      94
  1598267360;   621766090;   0.318; -57.673;   0.000;   0.170;  -0.269;   0.000;      91
  1598267360;   621766090;   0.312; -57.340;   0.000;   0.168;  -0.263;   0.000;      70
  1598267360;   621766090;   0.002; -57.006;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.314; -56.673;   0.000;   0.173;  -0.262;   0.000;      43
  1598267360;   621766090;   0.317; -56.340;   0.000;   0.176;  -0.264;   0.000;      46
